variableId,parent_variable_id,category,subcategory,variableName,unit,unit_accession,value_type,observation_level,scaleName,scaleClass,system_id,acquisition_modality,acquisition_filter,acquisition_light_profile,acquisition_geometry,signal_interpretation,roi_canonical,implementation_roi_alias,acquisition_unit,filter_notes,axis_definition,export_shape,traitName,traitAccNumber,traitEntity,traitEntityAccessionNumber,traitCharacteristic,traitCharacteristicAccessionNumber,methodName,methodDesc,methodRef,record_status,introduced_in_version,deprecated_in_version,replaced_by_variable_id
root.branch_node.count,root.branch_node.count,root_architecture,rootcam_segmentation,Node number,count,UO:0000189,int,plant_round,,,HADES:ROOTCAM:BRANCH_NODE_COUNT,rootcam_transmission,,"Cool-White transmitted backlight (5,700 K)",transmission,,,,,,,scalar,root branch node count,,root system,PO:0009005,count,PATO:0000070,Backlit root architecture extraction,Grayscale backlit RootCam images are segmented with the HADES U-Net-based image-analysis pipeline. Root masks are skeletonized and converted into graph representations. The primary root is reconstructed on the root skeleton using Dijkstra's shortest-path algorithm between the root-shoot junction and the primary-root tip; graph paths and landmarks are then used to derive root lengths and root architectural counts in image-native coordinates. Each image is analyzed independently and temporal continuity is not required for the per-image trait calculation.,https://doi.org/10.64898/2026.03.27.714898,active,1.0.0,,
root.lateral.count,root.lateral.count,root_architecture,rootcam_segmentation,Lateral root number,count,UO:0000189,int,plant_round,,,HADES:ROOTCAM:LATERAL_ROOT_COUNT,rootcam_transmission,,"Cool-White transmitted backlight (5,700 K)",transmission,,,,,,,scalar,lateral root count,TO:0001013,lateral root(s),PO:0020121,count,PATO:0000070,Backlit root architecture extraction,Grayscale backlit RootCam images are segmented with the HADES U-Net-based image-analysis pipeline. Root masks are skeletonized and converted into graph representations. The primary root is reconstructed on the root skeleton using Dijkstra's shortest-path algorithm between the root-shoot junction and the primary-root tip; graph paths and landmarks are then used to derive root lengths and root architectural counts in image-native coordinates. Each image is analyzed independently and temporal continuity is not required for the per-image trait calculation.,https://doi.org/10.64898/2026.03.27.714898,active,1.0.0,,
root.lateral.total_length.px,root.lateral.total_length,root_architecture,rootcam_segmentation,Total lateral root length,px,,float,plant_round,,,HADES:ROOTCAM:TOTAL_LATERAL_ROOT_LENGTH_PX,rootcam_transmission,,"Cool-White transmitted backlight (5,700 K)",transmission,,,,,,,scalar,lateral root total length,TO:0001012,lateral root(s),PO:0020121,length,PATO:0000122,Backlit root architecture extraction,Grayscale backlit RootCam images are segmented with the HADES U-Net-based image-analysis pipeline. Root masks are skeletonized and converted into graph representations. The primary root is reconstructed on the root skeleton using Dijkstra's shortest-path algorithm between the root-shoot junction and the primary-root tip; graph paths and landmarks are then used to derive root lengths and root architectural counts in image-native coordinates. Each image is analyzed independently and temporal continuity is not required for the per-image trait calculation.,https://doi.org/10.64898/2026.03.27.714898,active,1.0.0,,
root.primary.length.px,root.primary.length,root_architecture,rootcam_segmentation,Primary/main root length,px,,float,plant_round,,,HADES:ROOTCAM:PRIMARY_ROOT_LENGTH_PX,rootcam_transmission,,"Cool-White transmitted backlight (5,700 K)",transmission,,,,,,,scalar,primary root length,TO:0000227,primary root,PO:0020127,length,PATO:0000122,Backlit root architecture extraction,Grayscale backlit RootCam images are segmented with the HADES U-Net-based image-analysis pipeline. Root masks are skeletonized and converted into graph representations. The primary root is reconstructed on the root skeleton using Dijkstra's shortest-path algorithm between the root-shoot junction and the primary-root tip; graph paths and landmarks are then used to derive root lengths and root architectural counts in image-native coordinates. Each image is analyzed independently and temporal continuity is not required for the per-image trait calculation.,https://doi.org/10.64898/2026.03.27.714898,active,1.0.0,,
root.tip.count,root.tip.count,root_architecture,rootcam_segmentation,Tip number,count,UO:0000189,int,plant_round,,,HADES:ROOTCAM:ROOT_TIP_COUNT,rootcam_transmission,,"Cool-White transmitted backlight (5,700 K)",transmission,,,,,,,scalar,root tip count,,root tip(s),PO:0000025,count,PATO:0000070,Backlit root architecture extraction,Grayscale backlit RootCam images are segmented with the HADES U-Net-based image-analysis pipeline. Root masks are skeletonized and converted into graph representations. The primary root is reconstructed on the root skeleton using Dijkstra's shortest-path algorithm between the root-shoot junction and the primary-root tip; graph paths and landmarks are then used to derive root lengths and root architectural counts in image-native coordinates. Each image is analyzed independently and temporal continuity is not required for the per-image trait calculation.,https://doi.org/10.64898/2026.03.27.714898,active,1.0.0,,
shoot.area.px,shoot.area,shoot_growth,rootcam_segmentation,Shoot area (n_pixels_shoot),px,,float,plant_round,,,HADES:SHOOT:AREA_PX,rootcam_transmission,,"Cool-White transmitted backlight (5,700 K)",transmission,,,,,,,scalar,shoot area,,shoot system,PO:0009006,area,PATO:0001323,Backlit root architecture extraction,"Grayscale backlit RootCam images are segmented with the HADES U-Net-based image-analysis pipeline. The segmented shoot mask is counted in image pixels to obtain shoot area. The same shoot mask is reused as an ROI in fluorescence analysis, so the channel-independent n_pixels_shoot quantity is represented by this single canonical variable rather than duplicated for each fluorescence filter or excitation protocol.",https://doi.org/10.64898/2026.03.27.714898,active,1.0.0,,
roi.main_root.pixel_count.px,roi.main_root,image_segmentation,rootcam_roi_mask,Pixel count in main root ROI,px,,int,plant_round,count,Numerical,HADES:ROOTCAM:ROI:MAIN_ROOT:PIXELS,rootcam_roi_mask,,"Cool-White transmitted backlight (5,700 K)",transmission,,main_root,main_root,,,,scalar,main root segmented area (pixel count),,primary root,PO:0020127,area (pixel count),PATO:0001323,RootCam ROI mask pixel-count extraction,Binary ROI masks originate from the backlit RootCam segmentation and are reused by FC_analysis.py. Primary-root and lateral-root masks are transferred directly from segmentation outputs. Root-tip and node ROIs are implementation-defined mask regions used by the fluorescence pipeline. The peri-root ROI is the exclusive region obtained by dilating the full root mask and subtracting the original root mask; root_plus_peri is the corresponding inclusive dilated mask. Pixel count is therefore a channel-independent property of the ROI mask and is not expanded across fluorescence filters or excitation protocols.,https://github.com/valerian-meline/HADES_FC; https://doi.org/10.64898/2026.03.27.714898; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
roi.lateral_root.pixel_count.px,roi.lateral_root,image_segmentation,rootcam_roi_mask,Pixel count in lateral root ROI,px,,int,plant_round,count,Numerical,HADES:ROOTCAM:ROI:LATERAL_ROOT:PIXELS,rootcam_roi_mask,,"Cool-White transmitted backlight (5,700 K)",transmission,,lateral_root,lateral_root,,,,scalar,lateral root segmented area (pixel count),,lateral root(s),PO:0020121,area (pixel count),PATO:0001323,RootCam ROI mask pixel-count extraction,Binary ROI masks originate from the backlit RootCam segmentation and are reused by FC_analysis.py. Primary-root and lateral-root masks are transferred directly from segmentation outputs. Root-tip and node ROIs are implementation-defined mask regions used by the fluorescence pipeline. The peri-root ROI is the exclusive region obtained by dilating the full root mask and subtracting the original root mask; root_plus_peri is the corresponding inclusive dilated mask. Pixel count is therefore a channel-independent property of the ROI mask and is not expanded across fluorescence filters or excitation protocols.,https://github.com/valerian-meline/HADES_FC; https://doi.org/10.64898/2026.03.27.714898; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
roi.main_root_tip.pixel_count.px,roi.main_root_tip,image_segmentation,rootcam_roi_mask,Pixel count in main root tip ROI,px,,int,plant_round,count,Numerical,HADES:ROOTCAM:ROI:MAIN_ROOT_TIP:PIXELS,rootcam_roi_mask,,"Cool-White transmitted backlight (5,700 K)",transmission,,main_root_tip,main_root_tip,,,,scalar,main root tip segmented area (pixel count),,root tip,PO:0000025,area (pixel count),PATO:0001323,RootCam ROI mask pixel-count extraction,Binary ROI masks originate from the backlit RootCam segmentation and are reused by FC_analysis.py. Primary-root and lateral-root masks are transferred directly from segmentation outputs. Root-tip and node ROIs are implementation-defined mask regions used by the fluorescence pipeline. The peri-root ROI is the exclusive region obtained by dilating the full root mask and subtracting the original root mask; root_plus_peri is the corresponding inclusive dilated mask. Pixel count is therefore a channel-independent property of the ROI mask and is not expanded across fluorescence filters or excitation protocols.,https://github.com/valerian-meline/HADES_FC; https://doi.org/10.64898/2026.03.27.714898; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
roi.node.pixel_count.px,roi.node,image_segmentation,rootcam_roi_mask,Pixel count in node ROI,px,,int,plant_round,count,Numerical,HADES:ROOTCAM:ROI:NODE:PIXELS,rootcam_roi_mask,,"Cool-White transmitted backlight (5,700 K)",transmission,,node,node,,,,scalar,node segmented area (pixel count),,primary root,PO:0020127,area (pixel count),PATO:0001323,RootCam ROI mask pixel-count extraction,Binary ROI masks originate from the backlit RootCam segmentation and are reused by FC_analysis.py. Primary-root and lateral-root masks are transferred directly from segmentation outputs. Root-tip and node ROIs are implementation-defined mask regions used by the fluorescence pipeline. The peri-root ROI is the exclusive region obtained by dilating the full root mask and subtracting the original root mask; root_plus_peri is the corresponding inclusive dilated mask. Pixel count is therefore a channel-independent property of the ROI mask and is not expanded across fluorescence filters or excitation protocols.,https://github.com/valerian-meline/HADES_FC; https://doi.org/10.64898/2026.03.27.714898; https://npec-nl.github.io/hades-research-resources,active,1.0.0,,
